,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,scale,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,1,VR_target_stimuli/s17_1x_1.8_291.png,250,1x,1.8,2.0,3042,251,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
1,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,2,VR_target_stimuli/s5_1.3x_4_393.png,250,1.3x,4.0,1.5,7442,252,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
2,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,3,VR_target_stimuli/s37_0.75x_3.3_567.png,250,0.75x,3.3,2.0,4067,246,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
3,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,4,VR_target_stimuli/s46_1.3x_2.42_354_BC.png,250,1.3x,2.42,2.0,5246,242,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
4,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,5,VR_target_stimuli/s22_1x_4.29_354_BC.png,250,1x,4.29,3.0,8204,252,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
5,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,6,VR_target_stimuli/s42_0.75x_3.2_301_BC.png,250,0.75x,3.2,3.0,3755,251,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
6,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,7,catch_stimuli/c0_BC.png,250,,,0.0,4378,254,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
7,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,8,VR_target_stimuli/s25_0.75x_1.4_281_BC.png,250,0.75x,1.4,3.0,3835,258,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
8,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,9,VR_target_stimuli/s50_1.3x_4.53_518_BC.png,250,1.3x,4.53,3.0,14947,265,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
9,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,10,VR_target_stimuli/s53_1x_1.6_387_BC.png,250,1x,1.6,1.0,5426,244,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
10,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,11,VR_target_stimuli/s38_1.3x_3.55_358.png,250,1.3x,3.55,3.0,2837,253,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
11,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,12,VR_target_stimuli/s9_0.75x_1.2_260.png,250,0.75x,1.2,2.0,2954,245,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
12,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,13,VR_target_stimuli/s44_1x_4.4_317.png,250,1x,4.4,3.0,3409,246,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
13,646969,final-intermixed-textured,v2,jsons/MX_seq42_2_VE250_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#111,111,1272,572,1280,720,0-31-2024,15-8-1,14,VR_target_stimuli/s3_0.75x_5_381.png,250,0.75x,5.0,4.0,2661,238,meters,jsons/MX_seq42_2_VE250_flipped.json,238323,400476,29,Woman
