,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,scale,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,1,VR_target_stimuli/s3_1.3x_5_390.png,1000,1.3x,5.0,7.0,6125,981,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
1,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,2,VR_target_stimuli/s1_0.75x_1.7_265_BC.png,1000,0.75x,1.7,3.5,6427,1007,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
2,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,3,VR_target_stimuli/s11_1x_5_361.png,1000,1x,5.0,6.0,6361,999,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
3,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,4,VR_target_stimuli/s2_0.75x_2.7_384.png,1000,0.75x,2.7,4.0,4793,995,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
4,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,5,VR_target_stimuli/s6_1.3x_2.1_298_BC.png,1000,1.3x,2.1,5.0,5081,1002,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
5,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,6,VR_target_stimuli/s0_1x_2.6_351_BC.png,1000,1x,2.6,5.0,4608,997,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
6,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,7,catch_stimuli/c0_BC.png,1000,,,0.0,5088,994,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
7,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,8,VR_target_stimuli/s34_1x_2.8_283_BC.png,1000,1x,2.8,6.5,7083,992,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
8,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,9,VR_target_stimuli/s13_0.75x_2.4_308_BC.png,1000,0.75x,2.4,5.0,4807,990,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
9,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,10,VR_target_stimuli/s14_1.3x_3.83_359.png,1000,1.3x,3.83,5.0,4816,997,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
10,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,11,VR_target_stimuli/s47_0.75x_3.45_366.png,1000,0.75x,3.45,4.5,5362,1004,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
11,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,12,VR_target_stimuli/s29_1x_1.3_250.png,1000,1x,1.3,3.0,5144,992,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
12,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,13,VR_target_stimuli/s28_1.3x_3.2_365_BC.png,1000,1.3x,3.2,4.5,6158,1008,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
13,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,14,VR_target_stimuli/s48_1x_2.55_256_BC.png,1000,1x,2.55,3.5,6001,1006,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
14,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,15,VR_target_stimuli/s19_0.75x_1.21_257_BC.png,1000,0.75x,1.21,2.5,7283,992,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
15,983999,final-intermixed-textured,v2,jsons/MX_seq0_1_VE1000_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#170,170,1366,607,1366,768,1-8-2024,14-58-35,16,VR_target_stimuli/s21_1.3x_4.22_384_BC.png,1000,1.3x,4.22,7.0,5106,999,meters,jsons/MX_seq0_1_VE1000_flipped.json,365251,692851,30,Woman
