,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,scale,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,1,VR_target_stimuli/s4_1x_1.4_313_BC.png,1000,1x,1.4,2,4554,995,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
1,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,2,VR_target_stimuli/s35_1.3x_2_338.png,1000,1.3x,2.0,2,2830,996,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
2,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,3,VR_target_stimuli/s49_0.75x_4.67_328_BC.png,1000,0.75x,4.67,5,3617,996,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
3,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,4,VR_target_stimuli/s7_1.3x_1.5_256_BC.png,1000,1.3x,1.5,2,3002,1001,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
4,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,5,VR_target_stimuli/s20_1x_4.99_398.png,1000,1x,4.99,3,7420,995,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
5,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,6,VR_target_stimuli/s31_0.75x_4.96_329.png,1000,0.75x,4.96,4,5293,1005,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
6,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,7,catch_stimuli/c0.png,1000,,,0,2840,1002,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
7,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,8,VR_target_stimuli/s33_0.75x_3.1_361.png,1000,0.75x,3.1,3,3604,986,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
8,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,9,VR_target_stimuli/s52_1.3x_3.2_280.png,1000,1.3x,3.2,3,3267,1013,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
9,499600,final-intermixed-textured,v2,jsons/MX_seq18_2_VE1000.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#131,131,1920,977,1920,1080,1-8-2024,22-51-33,10,VR_target_stimuli/s32_1x_1.5_218_BC.png,1000,1x,1.5,2,5570,989,meters,jsons/MX_seq18_2_VE1000.json,239021,534609,22,Man
