,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,scale,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,1,VR_target_stimuli/s3_1.3x_5_390.png,125,1.3x,5.0,3,5156,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
1,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,2,VR_target_stimuli/s1_0.75x_1.7_265_BC.png,125,0.75x,1.7,3,5914,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
2,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,3,VR_target_stimuli/s11_1x_5_361.png,125,1x,5.0,4,5032,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
3,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,4,VR_target_stimuli/s2_0.75x_2.7_384.png,125,0.75x,2.7,4,7055,124,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
4,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,5,VR_target_stimuli/s6_1.3x_2.1_298_BC.png,125,1.3x,2.1,3,3947,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
5,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,6,VR_target_stimuli/s0_1x_2.6_351_BC.png,125,1x,2.6,2,5036,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
6,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,7,catch_stimuli/c0_BC.png,125,,,1,4015,122,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
7,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,8,VR_target_stimuli/s34_1x_2.8_283_BC.png,125,1x,2.8,4,4062,122,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
8,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,9,VR_target_stimuli/s13_0.75x_2.4_308_BC.png,125,0.75x,2.4,3,5396,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
9,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,10,VR_target_stimuli/s14_1.3x_3.83_359.png,125,1.3x,3.83,4,4059,123,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
10,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,11,VR_target_stimuli/s47_0.75x_3.45_366.png,125,0.75x,3.45,2,4344,124,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
11,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,12,VR_target_stimuli/s29_1x_1.3_250.png,125,1x,1.3,1,5804,126,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
12,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,13,VR_target_stimuli/s28_1.3x_3.2_365_BC.png,125,1.3x,3.2,3,3855,125,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
13,397914,final-intermixed-textured,v2,jsons/MX_seq0_1_VE125_flipped.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/MX_fS_VE_MTurk/MX_fS_HTML.html#283,283,1366,633,1366,768,1-12-2024,20-37-5,14,VR_target_stimuli/s48_1x_2.55_256_BC.png,125,1x,2.55,3,3973,125,meters,jsons/MX_seq0_1_VE125_flipped.json,301869,543287,49,Woman
